scenario,ideal_cost,ideal_shed,nadir_cost,nadir_shed,ref_cost,ref_shed,hv_all
A,-32167952.344724,-12109.295345000002,-3324271.5467069745,619.4782629999972,-439903.46690527163,1892.3556237999974,433285448419.79364
B,4451114.66535902,-33870.429748,40142920.36804104,-232.63080000000627,43712100.93830924,3131.1490947999937,1021023321131.6018
C,4004157.0022280216,-38579.876553,49568068.90721798,-1397.6410530000069,54124460.09771697,2320.582496999993,1515643808220.544
