scenario,level,BO_median,BO_IQR,random_median,random_IQR,Sobol_median,Sobol_IQR
A,0.9,8.0,7–10,24.0,16–32,31.0,31–31
A,0.95,8.0,7–10,45.5,20–59,76.0,76–76
A,0.99,28.5,22–31,50.0,38–67,76.0,76–76
B,0.9,14.0,11–15,16.0,14–20,16.0,16–16
B,0.95,21.0,19–25,31.0,28–37,36.0,36–36
B,0.99,43.5,38–48,62.0,57–69,77.0,77–77
C,0.9,13.0,12–15,15.0,12–18,14.0,14–14
C,0.95,19.5,17–23,29.0,26–33,28.0,28–28
C,0.99,38.5,33–44,61.0,56–66,73.0,73–73
