index,oat_site,unit_type,bus,omega,bid,gen_pmax,start_date,num_days,replicate_of
1,270,WIND,120,0.5,40.0,578.9999877407346,01-01-2019,365,
2,163,WIND,120,0.5,40.0,185.3999876467921,01-01-2019,365,
3,110,WIND,2,0.5,40.0,338.599998942999,01-01-2019,365,
4,146,WIND,75,0.5,40.0,267.9999991911224,01-01-2019,365,
5,140,WIND,2,0.5,40.0,250.5999989428539,01-01-2019,365,
6,116,PV,120,0.4,40.0,199.3333333333333,01-01-2019,365,
7,59,PV,26,0.4,40.0,491.6666666666667,01-01-2019,365,
