index,nuclear_omega,nuclear_bid,wind_303_omega,wind_303_bid,wind_317_omega,wind_317_bid,wind_122_omega,wind_122_bid,pv_omega,pv_bid,tail_omega,tail_bid,oat_site,anchor,start_date,num_days,provisional,rho_h2
67,,,0.88125,30.0,0.40624999999999994,30.0,,,,,,,,False,01-01-2020,366,False,1.5
68,,,0.88125,30.0,0.525,30.0,,,,,,,,False,01-01-2020,366,False,1.5
69,,,0.88125,30.0,0.64375,30.0,,,,,,,,False,01-01-2020,366,False,1.5
70,,,0.88125,30.0,0.7625,30.0,,,,,,,,False,01-01-2020,366,False,1.5
71,,,0.88125,30.0,0.88125,30.0,,,,,,,,False,01-01-2020,366,False,1.5
72,,,0.88125,30.0,1.0,30.0,,,,,,,,False,01-01-2020,366,False,1.5
73,,,1.0,30.0,0.05,30.0,,,,,,,,False,01-01-2020,366,False,1.5
74,,,1.0,30.0,0.16875,30.0,,,,,,,,False,01-01-2020,366,False,1.5
75,,,1.0,30.0,0.2875,30.0,,,,,,,,False,01-01-2020,366,False,1.5
76,,,1.0,30.0,0.40624999999999994,30.0,,,,,,,,False,01-01-2020,366,False,1.5
77,,,1.0,30.0,0.525,30.0,,,,,,,,False,01-01-2020,366,False,1.5
78,,,1.0,30.0,0.64375,30.0,,,,,,,,False,01-01-2020,366,False,1.5
79,,,1.0,30.0,0.7625,30.0,,,,,,,,False,01-01-2020,366,False,1.5
80,,,1.0,30.0,0.88125,30.0,,,,,,,,False,01-01-2020,366,False,1.5
81,,,1.0,30.0,1.0,30.0,,,,,,,,False,01-01-2020,366,False,1.5
