objective,pair,own_range,med_diff_B,med_diff_C,resolvable
reserve_shortfall_mwh,nuclear|pv,119639.74502699998,-6432.367594560899,-4455.409542152542,False
reserve_shortfall_mwh,nuclear|tail,119639.74502699998,-2278.014032784442,656.3795690553961,False
reserve_shortfall_mwh,nuclear|wind_122,119639.74502699998,15399.68424920825,21572.749121653993,True
reserve_shortfall_mwh,nuclear|wind_303,119639.74502699998,5744.089915381308,9132.395340838877,False
reserve_shortfall_mwh,nuclear|wind_317,119639.74502699998,19683.966974136594,18375.74973006925,True
reserve_shortfall_mwh,pv|tail,119639.74502699998,6599.1900537955225,6782.048106039641,False
reserve_shortfall_mwh,pv|wind_122,119639.74502699998,26554.457222178695,30921.43790115061,True
reserve_shortfall_mwh,pv|wind_303,119639.74502699998,13965.029180896687,15832.397423192757,True
reserve_shortfall_mwh,pv|wind_317,119639.74502699998,30680.026970076317,30222.497766011074,True
reserve_shortfall_mwh,tail|wind_122,119639.74502699998,22366.562825059445,27605.25059705539,True
reserve_shortfall_mwh,tail|wind_303,119639.74502699998,9326.501321499818,12124.259320071404,False
reserve_shortfall_mwh,tail|wind_317,119639.74502699998,27176.077318515774,26441.355783799518,True
reserve_shortfall_mwh,wind_122|wind_303,119639.74502699998,-27823.152716079683,-30509.363832502742,True
reserve_shortfall_mwh,wind_122|wind_317,119639.74502699998,-1929.819608758473,-2702.170254724988,False
reserve_shortfall_mwh,wind_303|wind_317,119639.74502699998,23618.743309342593,25301.08539794947,True
thermal_starts,nuclear|pv,1669.0,30.635038969840934,-91.02688354230213,False
thermal_starts,nuclear|tail,1669.0,39.87201868156171,26.6680822096896,False
thermal_starts,nuclear|wind_122,1669.0,242.21090333870143,192.98041939700943,True
thermal_starts,nuclear|wind_303,1669.0,34.78543604189599,120.68125409943605,False
thermal_starts,nuclear|wind_317,1669.0,134.41122329872542,318.72869331799484,False
thermal_starts,pv|tail,1669.0,58.608424955628834,108.20366183103852,False
thermal_starts,pv|wind_122,1669.0,287.2041045265123,406.1697684839037,True
thermal_starts,pv|wind_303,1669.0,115.21908114813232,234.49319896496536,False
thermal_starts,pv|wind_317,1669.0,216.3928661950722,477.5504064589859,True
thermal_starts,tail|wind_122,1669.0,225.05930283607313,233.77987629618974,True
thermal_starts,tail|wind_303,1669.0,54.31312071645152,118.87932768587143,False
thermal_starts,tail|wind_317,1669.0,115.76963481807388,346.2359600825748,False
thermal_starts,wind_122|wind_303,1669.0,-239.80709411061162,-463.49640842421195,True
thermal_starts,wind_122|wind_317,1669.0,-10.955147974880674,-4.21809160762291,False
thermal_starts,wind_303|wind_317,1669.0,234.71680300127628,424.5727125377948,True
