pair,objective,r2_tot,r2_full,dloc,extra_rmse_loc,extra_rmse_qp,tilt,log2_tilt,log2_tilt_lo,log2_tilt_hi,loc_gate_ratio,planar_dominates,tilted_verdict,I_raw,I_denom,I_raw_over_floor,I_rel
nuclear|wind_317,load_shed_mwh,0.9301398818935985,0.9847744976748094,0.05463461578121087,2284.8753473349875,2854.7421704579297,1.7958266773234075,0.8446481163193875,0.4515653031136736,1.2377309295251013,0.7616251157783291,True,True,10846.234676,44821.375882,1.8077057793333333,0.24198799038553798
nuclear|wind_317,true_curtailment_mwh,0.9529210366468713,0.9976337730444275,0.04471273639755613,43116.20867168269,46519.81216769008,0.6283284711017206,-0.6704091412769404,-0.6866661196758012,-0.6541521628780796,8.623241734336538,False,False,259620.648146,1186625.5065060002,25.962064814599998,0.21878903388015722
nuclear|wind_317,total_cost_raw_usd,0.5657482614064517,0.9998247127106018,0.43407645130415007,15271356.781340947,1679407.7289951746,0.20536205567755145,-2.2837584523880508,-2.3031112334564128,-2.2644056713196887,30.542713562681893,False,False,3799286.8912720084,88647842.58061993,3.7992868912720086,0.042858199146998795
nuclear|wind_317,total_cost_less_synthetic_usd,0.5750237490738455,0.9994993144507534,0.4244755653769079,14623937.012566354,1471254.7178361109,0.21127122792839995,-2.2428317883403426,-2.2624148212557977,-2.2232487554248874,29.24787402513271,False,False,8499918.809847951,80230474.97356892,8.499918809847951,0.10594376778460005
nuclear|wind_317,reserve_shortfall_mwh,0.9468605611595404,0.9893642801653193,0.04250371900577887,7001.331887751524,10522.314988350796,1.1007880078451195,0.1385366582952582,,,,,,30170.468550999998,177054.223226,,
nuclear|wind_317,thermal_starts,0.9476791204354187,0.9856935994417252,0.0380144790063065,84.70630605587746,129.63133356439073,0.8324467195291152,-0.26457015895692504,,,,,,474.0,2449.0,,
pv|tail,load_shed_mwh,0.30359385087048774,0.40618877612179427,0.10259492525130653,451.71537218950704,241.72730281974617,3.018285492198051,1.593729273292845,-1.3219844681986626,4.5094430147843525,0.15057179072983568,True,False,309.17227000001003,4659.3053800000125,0.051528711666668336,
pv|tail,true_curtailment_mwh,0.9424243907569297,0.9944004703397267,0.05197607958279693,20774.19861343061,23275.16015474995,0.7756744588793978,-0.3664767969866631,-0.4079406463713371,-0.32501294760198907,4.154839722686122,False,False,33895.70748999994,415090.30249699997,3.3895707489999944,0.08165863496713446
pv|tail,total_cost_raw_usd,0.9277696102701999,0.9945900505119548,0.06682044024175493,982603.4975631967,1029815.2663693427,0.7543908614738529,-0.4066158952611606,-0.507883886288946,-0.3053479042333752,1.9652069951263933,False,False,225335.21455401182,14892788.570957005,0.22533521455401181,0.015130491746417903
pv|tail,total_cost_less_synthetic_usd,0.9153749995814005,0.9930244510787946,0.0776494514973941,964235.0014734011,911964.8743340631,0.6751916003844222,-0.566631138352803,-0.6849148045573485,-0.44834747214825743,1.9284700029468023,False,False,353835.8136740327,13051890.401876986,0.35383581367403266,0.02710992835360828
pv|tail,reserve_shortfall_mwh,0.7734177692420963,0.8804323247594825,0.10701455551738626,2884.173629989404,2539.489477138322,1.7409732744309137,0.7998940564399468,,,,,,404.2616060000146,35686.537631000014,,
pv|tail,thermal_starts,0.8069196685021551,0.8848757963045806,0.07795612780242545,44.12442442653768,32.937503047841304,1.5378266489714607,0.6208928851173688,,,,,,-253.0,295.0,,
nuclear|pv,load_shed_mwh,0.6539575717732292,0.8327323588434431,0.17877478707021388,1674.250936484346,216.96725925132557,0.26771860007849235,-1.9012107194170447,-3.1074329136056846,-0.6949885252284045,0.5580836454947821,True,True,-115.09584199999517,13094.498474,-0.01918264033333253,-0.00878963346542257
nuclear|pv,true_curtailment_mwh,0.8907975249022588,0.9986187600066132,0.10782123510435437,60916.0515559653,32724.365228679733,0.4809703569726002,-1.0559801139200407,-1.0805318428382717,-1.0314283850018096,12.18321031119306,False,False,66461.32062200014,810224.7870160004,6.646132062200015,0.08202824905761327
nuclear|pv,total_cost_raw_usd,0.732882948737372,0.9997459879710265,0.2668630392336545,10933692.06824014,1207601.4690626413,0.19559418789842187,-2.354064593793047,-2.3999591845799872,-2.3081700030061065,21.86738413648028,False,False,2291431.3083490133,71841801.17277902,2.291431308349013,0.03189551585487309
nuclear|pv,total_cost_less_synthetic_usd,0.7404500344331949,0.9996931549158368,0.25924312048264186,9808108.423793344,1119607.6482973646,0.20621472654361,-2.2777807304025166,-2.3257575865514624,-2.229803874253571,19.61621684758669,False,False,2944941.220495999,64566336.25232601,2.944941220495999,0.04561109382120016
nuclear|pv,reserve_shortfall_mwh,0.7260095037377643,0.9696367067469369,0.24362720300917262,9191.375345211836,2339.125506082976,0.2304511250147185,-2.1174672842568727,,,,,,2736.045867000008,69623.115333,,
nuclear|pv,thermal_starts,0.8013259064752131,0.9757335896135849,0.17440768313837185,132.93118181569946,19.503712858202995,0.3282627123861208,-1.6070772125086117,,,,,,55.0,1215.0,,
wind_303|wind_317,load_shed_mwh,0.8806425996336906,0.9843467979650682,0.10370419833137756,2800.0383182554865,2730.0074984895846,1.7409636546220637,0.7998860847559072,0.5405732761428952,1.0591988933689191,0.9333461060851622,True,True,9660.647759999996,46815.286567999996,1.6101079599999994,0.20635669389671987
wind_303|wind_317,true_curtailment_mwh,0.9478065897305504,0.9899848598762562,0.04217827014570574,46568.813679397615,76214.1092686381,1.0001296442117897,0.00018702493834059028,-0.014633597206288143,0.015007647082969323,9.313762735879523,False,False,252872.48800700018,1273840.1021810002,25.287248800700016,0.19851195418800646
wind_303|wind_317,total_cost_raw_usd,0.9405019810178493,0.9987983546842965,0.05829637366644713,2934878.8105503307,2204619.9370878856,1.3926158635738788,0.4777973626458847,0.4505116730254391,0.5050830522663303,5.8697576211006615,False,False,8132016.364127994,42090747.98898196,8.132016364127994,0.19320199218737336
wind_303|wind_317,total_cost_less_synthetic_usd,0.9383750221256388,0.9974566015880719,0.05908157946243309,2765175.0615492603,1817248.4633575873,1.4640909746941468,0.5500052016153194,0.5205171474878957,0.5794932557427431,5.53035012309852,False,False,9685805.802608013,35878106.102381945,9.685805802608012,0.2699642443491457
wind_303|wind_317,reserve_shortfall_mwh,0.8920929054931204,0.9880187650473875,0.09592585955426713,9836.144924480246,11442.490265750119,1.6079423898225937,0.6852157178314219,,,,,,38497.78945899999,183554.082549,,
wind_303|wind_317,thermal_starts,0.9359941061215123,0.9882592638174857,0.0522651576959734,101.72659389834244,139.00687528070355,1.3041427017358105,0.3831017405985538,,,,,,523.0,2585.0,,
