objective,loo_rmse_total_only,loo_rmse_6d,ratio_total/6d
load_shed_mwh,3141.065732428415,2935.879354536573,1.069889240364998
true_curtailment_mwh,98753.67176576958,84988.10539014777,1.1619705053128244
total_cost_raw_usd,16874474.039319996,6415434.952493754,2.630293061074634
total_cost_less_synthetic_usd,16939261.65128798,6856739.4420614615,2.4704543310158558
reserve_shortfall_mwh,13572.74388062365,12973.801826159595,1.046165500482394
thermal_starts,174.96451722426679,99.08019058972933,1.765887976020947
