scenario,objective,pair,window_lo,window_hi,median_absdiff_over_floor2,max_absdiff_over_floor2,median_signed_diff
B,load_shed_mwh,nuclear|pv,20.0,200.0,0.21727497290480213,0.48582758333839937,1819.7074516563807
B,load_shed_mwh,nuclear|tail,20.0,200.0,0.4696802794764277,0.7265732275827187,3933.636226174014
B,load_shed_mwh,nuclear|wind_122,35.675000000000004,200.0,0.7515938597870266,1.0859448689316955,6294.700806948786
B,load_shed_mwh,nuclear|wind_303,42.35,200.0,0.6728109937350024,0.9636013276554739,5634.8835877768
B,load_shed_mwh,nuclear|wind_317,39.955000000000005,200.0,0.71353208936644,1.09512073750188,5975.9283025429395
B,load_shed_mwh,pv|tail,6.8100000000000005,251.5,0.22579728980098385,0.6752172535590228,1737.3157007895934
B,load_shed_mwh,pv|wind_122,35.675000000000004,272.40000000000003,0.8265873726706446,1.321445447601437,6922.781677910396
B,load_shed_mwh,pv|wind_303,42.35,272.40000000000003,0.5803690301192198,1.044924735384399,4860.669568608144
B,load_shed_mwh,pv|wind_317,39.955000000000005,272.40000000000003,0.8566278117925656,1.4055726604260503,7174.374441634456
B,load_shed_mwh,tail|wind_122,35.675000000000004,251.5,0.45570737114362764,1.313740439184828,3816.6112183023142
B,load_shed_mwh,tail|wind_303,42.35,251.5,0.3484903745288757,0.8863712304289669,2867.8839567803443
B,load_shed_mwh,tail|wind_317,39.955000000000005,251.5,0.43734263122133993,1.4276286652334955,3662.8040234950204
B,load_shed_mwh,wind_122|wind_303,42.35,713.5,0.5027318453052073,1.3866075749898843,-4210.447585639209
B,load_shed_mwh,wind_122|wind_317,39.955000000000005,713.5,0.06437997455309798,0.415939570966656,483.4720500396106
B,load_shed_mwh,wind_303|wind_317,42.35,799.1,1.0730422455293018,1.444996126303082,8986.874760708393
B,true_curtailment_mwh,nuclear|pv,20.0,200.0,5.365273837123361,10.098674157961224,-74891.49694404448
B,true_curtailment_mwh,nuclear|tail,20.0,200.0,6.338959292885982,12.844732710276674,-88482.743830672
B,true_curtailment_mwh,nuclear|wind_122,35.675000000000004,200.0,4.359067065007939,6.142867107895341,-60846.29931078409
B,true_curtailment_mwh,nuclear|wind_303,42.35,200.0,3.991247654561552,4.585506319776637,55712.06998910324
B,true_curtailment_mwh,nuclear|wind_317,39.955000000000005,200.0,2.600199101992236,5.0386415738548,-36295.0352605239
B,true_curtailment_mwh,pv|tail,6.8100000000000005,251.5,0.8737088261692065,4.932402831603824,-11185.437259507831
B,true_curtailment_mwh,pv|wind_122,35.675000000000004,272.40000000000003,1.994764567346522,5.524988333027953,27844.040963176172
B,true_curtailment_mwh,pv|wind_303,42.35,272.40000000000003,11.886224510603634,18.019093065998117,165914.57838606334
B,true_curtailment_mwh,pv|wind_317,39.955000000000005,272.40000000000003,3.7577203184239023,8.222085485126911,52452.364648493705
B,true_curtailment_mwh,tail|wind_122,35.675000000000004,251.5,2.5231293516657356,9.435518368060013,35219.25252393389
B,true_curtailment_mwh,tail|wind_303,42.35,251.5,12.369138492369832,21.583986141520857,172655.36219087848
B,true_curtailment_mwh,tail|wind_317,39.955000000000005,251.5,4.450865094084231,11.63960785042707,62127.6676104723
B,true_curtailment_mwh,wind_122|wind_303,42.35,713.5,12.936651674800059,14.648860718165986,180577.02901682863
B,true_curtailment_mwh,wind_122|wind_317,39.955000000000005,713.5,3.374291237430529,7.004832280869821,47100.24680340174
B,true_curtailment_mwh,wind_303|wind_317,42.35,799.1,8.620922395065396,10.188344094006277,-120335.66278343904
B,total_cost_raw_usd,nuclear|pv,20.0,200.0,12.78929639978271,19.195984370833205,-17852016.156445503
B,total_cost_raw_usd,nuclear|tail,20.0,200.0,11.438914336847793,19.471561093154165,-15967077.247273147
B,total_cost_raw_usd,nuclear|wind_122,35.675000000000004,200.0,13.054242962316929,18.849406140069057,-18221843.406288266
B,total_cost_raw_usd,nuclear|wind_303,42.35,200.0,12.206470164187841,18.50350124910777,-17038474.65666318
B,total_cost_raw_usd,nuclear|wind_317,39.955000000000005,200.0,12.688031663882501,18.693331104563814,-17710665.166925907
B,total_cost_raw_usd,pv|tail,6.8100000000000005,251.5,1.5294026136550691,3.6202708446651366,2134825.8195927143
B,total_cost_raw_usd,pv|wind_122,35.675000000000004,272.40000000000003,1.0651657463760338,1.5908205806307192,-1486818.0014907122
B,total_cost_raw_usd,pv|wind_303,42.35,272.40000000000003,0.3263195561010526,0.8104975925151533,-365783.54888275266
B,total_cost_raw_usd,pv|wind_317,39.955000000000005,272.40000000000003,0.8902948851246201,1.5751167846497702,-1242723.460026741
B,total_cost_raw_usd,tail|wind_122,35.675000000000004,251.5,2.775761745627393,5.092433692324427,-3874563.6961096227
B,total_cost_raw_usd,tail|wind_303,42.35,251.5,2.1556412096122877,3.401480807848422,-3008964.7232002616
B,total_cost_raw_usd,tail|wind_317,39.955000000000005,251.5,2.6310428373667594,5.079891333231704,-3672556.9392362833
B,total_cost_raw_usd,wind_122|wind_303,42.35,713.5,3.1405003177409716,4.416886187101308,4383686.221595943
B,total_cost_raw_usd,wind_122|wind_317,39.955000000000005,713.5,0.17047862953316967,0.8719424205500805,-4689.609190702438
B,total_cost_raw_usd,wind_303|wind_317,42.35,799.1,3.4290513964555287,5.379021927241537,-4786461.977051854
B,total_cost_less_synthetic_usd,nuclear|pv,20.0,200.0,13.49852984909424,19.3252864128333,-18842003.92434305
B,total_cost_less_synthetic_usd,nuclear|tail,20.0,200.0,11.368267784953844,19.394418247012418,-15868464.833706021
