Date,Hour,committed_mw,num_committed
2019-01-08,5,34385.2,95
2019-01-08,6,36962.0,98
2019-01-08,7,37459.9,99
2019-01-08,8,39527.3,101
2019-01-08,9,39527.3,101
2019-01-08,10,38374.5,100
2019-01-08,11,37459.9,99
2019-01-08,12,36520.3,98
2019-01-08,13,34724.9,97
2019-01-08,14,32874.1,96
2019-01-08,15,32874.1,96
2019-01-08,16,32160.7,95
2019-01-08,17,35806.9,97
2019-01-08,18,37459.9,99
2019-01-08,19,37459.9,99
2019-01-08,20,37459.9,99
2019-01-08,21,34789.3,95
2019-01-08,22,31122.3,92
2019-01-08,23,27550.1,87
2019-01-09,0,27116.0,85
2019-01-09,1,24274.8,82
2019-01-09,2,25461.6,83
2019-01-09,3,25036.1,83
2019-01-09,4,27265.3,86
2019-01-09,5,33390.6,94
2019-01-09,6,36623.5,97
2019-01-09,7,37336.9,98
2019-01-09,8,37336.9,98
2019-01-09,9,37768.9,99
2019-01-09,10,37768.9,99
2019-01-09,11,36034.9,98
2019-01-09,12,36034.9,98
2019-01-09,13,33526.1,96
2019-01-09,14,31399.7,94
2019-01-09,15,31079.3,92
2019-01-09,16,32113.1,95
2019-01-09,17,36390.7,99
2019-01-09,18,39338.9,101
2019-01-09,19,39338.9,101
2019-01-09,20,38906.9,100
2019-01-09,21,38906.9,100
2019-01-09,22,37052.7,98
2019-01-09,23,34165.9,96
2019-01-10,0,34165.9,96
2019-01-10,1,34165.9,96
2019-01-10,2,34597.9,97
2019-01-10,3,35596.5,97
2019-01-10,4,36536.1,98
2019-01-10,5,42634.5,104
2019-01-10,6,43974.1,106
2019-01-10,7,43974.1,106
2019-01-10,8,43974.1,106
2019-01-10,9,41340.0,103
2019-01-10,10,39193.9,100
2019-01-10,11,35287.4,96
2019-01-10,12,35287.4,96
2019-01-10,13,33017.9,94
2019-01-10,14,32085.9,93
2019-01-10,15,30996.3,91
2019-01-10,16,33553.4,95
2019-01-10,17,35348.8,96
2019-01-10,18,37082.8,97
2019-01-10,19,37082.8,97
2019-01-10,20,37082.8,97
2019-01-10,21,33553.4,95
2019-01-10,22,32621.4,94
2019-01-10,23,27306.7,86
2019-01-11,0,26471.3,85
2019-01-11,1,27992.2,88
2019-01-11,2,29080.4,89
2019-01-11,3,30968.4,92
2019-01-11,4,32613.8,94
2019-01-11,5,36038.2,97
2019-01-11,6,37772.2,98
2019-01-11,7,37420.1,96
2019-01-11,8,37270.1,95
2019-01-11,9,35474.7,94
2019-01-11,10,34386.5,93
2019-01-11,11,34738.6,95
2019-01-11,12,33806.6,94
2019-01-11,13,33669.9,93
2019-01-11,14,32315.7,90
2019-01-11,15,30581.7,89
2019-01-11,16,32371.2,94
2019-01-11,17,34242.8,96
2019-01-11,18,36038.2,97
2019-01-11,19,36038.2,97
2019-01-11,20,35888.2,96
2019-01-11,21,32007.8,92
2019-01-11,22,30292.3,87
2019-01-11,23,27401.0,83
2019-01-12,0,27582.7,84
2019-01-12,1,26466.9,87
2019-01-12,2,28150.1,89
2019-01-12,3,28000.1,88
2019-01-12,4,28432.1,89
2019-01-12,5,29113.9,89
2019-01-12,6,28423.3,89
2019-01-12,7,30870.7,91
2019-01-12,8,32813.7,94
2019-01-12,9,32813.7,94
