Date,Hour,unit_type,is_pem,Output,Curtailment
2019-01-01,0,HYDRO,False,497.8,0.0
2019-01-01,0,PV,False,0.0,0.0
2019-01-01,0,WIND,False,7648.164923,2031.485077
2019-01-01,0,WIND,True,0.0,134.0
2019-01-01,1,HYDRO,False,497.8,0.0
2019-01-01,1,PV,False,0.0,0.0
2019-01-01,1,WIND,False,8380.942269,2120.627731
2019-01-01,1,WIND,True,0.0,134.0
2019-01-01,2,HYDRO,False,497.8,0.0
2019-01-01,2,PV,False,0.0,0.0
2019-01-01,2,WIND,False,8825.57586,2098.82414
2019-01-01,2,WIND,True,0.0,134.0
2019-01-01,3,HYDRO,False,497.8,0.0
2019-01-01,3,PV,False,0.0,0.0
2019-01-01,3,WIND,False,9088.077797,2103.172203
2019-01-01,3,WIND,True,0.0,134.0
2019-01-01,4,HYDRO,False,497.8,0.0
2019-01-01,4,PV,False,0.0,0.0
2019-01-01,4,WIND,False,9368.34067,2075.6093299999998
2019-01-01,4,WIND,True,0.0,134.0
2019-01-01,5,HYDRO,False,497.8,0.0
2019-01-01,5,PV,False,0.0,0.0
2019-01-01,5,WIND,False,9987.146377000001,2070.753623
2019-01-01,5,WIND,True,0.0,134.0
2019-01-01,6,HYDRO,False,497.8,0.0
2019-01-01,6,PV,False,0.0,0.0
2019-01-01,6,WIND,False,10402.250827,2053.019173
2019-01-01,6,WIND,True,0.0,134.0
2019-01-01,7,HYDRO,False,497.8,0.0
2019-01-01,7,PV,False,0.0,0.0
2019-01-01,7,WIND,False,10767.008074,1978.2219260000002
2019-01-01,7,WIND,True,0.0,134.0
2019-01-01,8,HYDRO,False,497.8,0.0
2019-01-01,8,PV,False,0.0,0.0
2019-01-01,8,WIND,False,10175.419579,1920.190421
2019-01-01,8,WIND,True,0.0,134.0
2019-01-01,9,HYDRO,False,497.8,0.0
2019-01-01,9,PV,False,238.78,7.13
2019-01-01,9,WIND,False,9874.066038,1875.033962
2019-01-01,9,WIND,True,0.0,134.0
2019-01-01,10,HYDRO,False,497.8,0.0
2019-01-01,10,PV,False,1802.99,40.53
2019-01-01,10,WIND,False,10156.29742,808.29258
2019-01-01,10,WIND,True,0.0,134.0
2019-01-01,11,HYDRO,False,497.8,0.0
2019-01-01,11,PV,False,3054.16,67.94
2019-01-01,11,WIND,False,8771.959206,1899.160794
2019-01-01,11,WIND,True,0.0,125.29
2019-01-01,12,HYDRO,False,497.8,0.0
2019-01-01,12,PV,False,4190.899524,228.710476
2019-01-01,12,WIND,False,8086.97,2226.69
2019-01-01,12,WIND,True,0.0,75.5
2019-01-01,13,HYDRO,False,497.8,0.0
2019-01-01,13,PV,False,4186.83,992.6700000000001
2019-01-01,13,WIND,False,8898.716467,1179.153533
2019-01-01,13,WIND,True,0.0,43.08
2019-01-01,14,HYDRO,False,497.8,0.0
2019-01-01,14,PV,False,4357.57,1033.95
2019-01-01,14,WIND,False,8660.877716,1450.982284
2019-01-01,14,WIND,True,0.0,33.61
2019-01-01,15,HYDRO,False,497.8,0.0
2019-01-01,15,PV,False,4257.05,773.3000000000001
2019-01-01,15,WIND,False,8385.080054,1554.729946
