scenario,metric,q2,rmse
A,delta_cost_less_synthetic_usd_APPROX,0.9983373256964179,284042.47521339
A,delta_curtailment_mwh,0.9996089483971885,5085.104888535384
A,delta_load_shed_mwh,0.5903615984926086,1727.478776728446
A,delta_thermal_starts,0.8612218324051046,55.15547219065706
A,delta_reserve_shortfall_mwh,0.8109286745425893,3757.054169551727
B,delta_cost_less_synthetic_usd_APPROX,0.9989374882450766,290163.97329466377
B,delta_curtailment_mwh,0.9992231941392461,6504.26732878734
B,delta_load_shed_mwh,0.9718028166464103,1294.9264710873656
B,delta_thermal_starts,0.9709459883781174,55.60127110478625
B,delta_reserve_shortfall_mwh,0.9880940543655449,3106.62710466752
C,delta_cost_less_synthetic_usd_APPROX,0.9985201037440903,437635.17238502443
C,delta_curtailment_mwh,0.999270118353611,6126.000304734114
C,delta_load_shed_mwh,0.9817429152989777,1174.8475635598352
C,delta_thermal_starts,0.9916731084649982,40.60409400513402
C,delta_reserve_shortfall_mwh,0.9913669824741786,2950.790526726791
