wave,index,site,bus,type,pmax,replicate_of,true_curt,h2,var_cost,total_cost,fixed_cost,reserve,onoffs,d_true_curt,relief,d_var_cost,d_reserve,d_onoffs,site_base_curt,site_avail,relief_per_h2,own_share,relief_x_ruler,d_var_cost_x_ruler,d_reserve_x_ruler,d_onoffs_x_ruler
screening_ercot,1,275,120.0,WIND,1038.999987796685,,7271320.494848999,3017560.709944,1193130493.296441,8018517952.840584,6825387459.544143,507.671714,17039.0,-2172937.6258390015,2172937.6258390015,6243473.682090998,226.747281,-650.0,1973765.111425,4280224.48,0.720097401413782,0.20899101720879418,396.5878960813368,21.859322709639965,0.40915865397801904,-2.5193798449612403
screening_ercot,2,205,77.0,WIND,1057.999956964386,,9307009.788031,2617240.660283,1202713986.124734,8025299656.220692,6822585670.095958,71.882226,16795.0,-137248.33265700005,137248.33265700005,15826966.510383844,-209.04220700000002,-894.0,116.914584,3647015.65,0.052440088807943055,1.2379435473485655e-05,25.049512163559918,55.412545336345076,-0.3772103800473552,-3.4651162790697674
screening_ercot,3,20,32.0,WIND,780.1999893773013,,9464894.197162,2203004.099527,1202644068.82674,7981847767.537385,6779203698.710645,755.481092,16897.0,20636.07647399977,-20636.07647399977,15757049.212389946,474.55665899999997,-792.0,8184.468045,3270585.7,-0.009367243791525615,0.0008666078309604453,-3.7663382762941366,55.16775455838142,0.8563232289993624,-3.0697674418604652
screening_ercot,4,274,120.0,WIND,746.3999877635443,,7876255.6375319995,2172394.138798,1191264421.220712,7944984265.923363,6753719844.702651,959.964079,17508.0,-1568002.4831560012,1568002.4831560012,4377401.606361866,679.039646,-181.0,1521527.95244,3067404.0999999996,0.7217854509695867,0.16110613803608734,286.17977729804596,15.325928996486763,1.2253066335779812,-0.7015503875968992
screening_ercot,5,204,28.0,WIND,856.9999804088067,,9419440.018346,2114932.149202,1199895554.183115,8052866470.072026,6852970915.888911,1558.82614,16968.0,-24818.10234200023,24818.10234200023,13008534.568764925,1277.901707,-721.0,0.0,2944284.57,0.011734703806627804,0.0,4.52960953664964,45.54479919308406,2.3059352246536218,-2.794573643410853
screening_ercot,6,91,94.0,WIND,785.4999846514534,,9162697.008207,1987358.214956,1194156829.73444,7957921192.399678,6763764362.665238,901.201775,16869.0,-281561.1124809999,281561.1124809999,7269810.120090008,620.277342,-820.0,13937.690466,2750740.3,0.14167607548658945,0.0014757845759709772,51.38837299761214,25.45267803541577,1.1192718220324918,-3.1782945736434107
screening_ercot,7,206,22.0,WIND,1799.800026503209,,9208452.530446,2608344.496712,1198360356.26138,7977836819.835777,6779476463.574397,553.185726,16692.0,-235805.5902420003,235805.5902420003,11473336.647029877,272.261293,-997.0,9728.341405,2681475.0100000002,0.09040431221383896,0.0010300800000044158,43.03742629620316,40.16984472012214,0.49128732076921827,-3.864341085271318
screening_ercot,8,30,26.0,PV,926.6666666666669,,8769685.602757001,1294478.968186,1193171707.737246,7962955401.069238,6769783693.331992,997.200902,17679.0,-674572.5179309994,674572.5179309994,6284688.122895956,716.276469,-10.0,228404.181371,2115800.5,0.5211150853044003,0.02418444926559897,123.11779797970448,22.003620548908057,1.2924993615785334,-0.03875968992248062
screening_ercot,9,142,14.0,PV,703.3333333333334,,9096346.650151998,931291.413729,1187761130.409732,8062109750.641434,6874348620.231702,553.214695,17518.0,-347911.4705360029,347911.4705360029,874110.7953820229,272.290262,-171.0,54217.278758,1599445.65,0.37357959646908434,0.0057407663010856326,63.49813104697947,3.06039088705447,0.49133959445909364,-0.6627906976744186
screening_topup,1,270,120.0,WIND,578.9999877407346,,8122993.146231001,1687647.417811,1189196085.338398,7975521522.929415,6786325437.591017,766.150142,17637.0,-1321264.9744569995,1321264.9744569995,2309065.7240478992,485.22570899999994,-52.0,1319785.146844,2375511.0700000003,0.7829034432860242,0.13974471366395222,241.14714115806237,8.084379848435121,0.8755752090803238,-0.20155038759689922
