objective,loo_rmse_32,y_range_32,rmse_over_range_32,loo_R2_32,loo_rmse_16,loo_R2_16,rmse_ratio_32_over_16,rmse_over_floor_32,rmse_over_floor_16
load_shed_mwh,1206.8472026868121,13729.311075,0.08790296877200098,0.8937306593695588,1497.1572775825289,0.875576867568307,0.8060924665413358,0.402282400895604,0.499052425860843
true_curtailment_mwh,33116.151064946556,540073.5224929999,0.061317857080052995,0.9402576401252984,85361.69195337445,0.6752847740148953,0.3879509684863672,6.623230212989311,17.07233839067489
total_cost_raw_usd,1440541.2603772979,101004155.61180997,0.014262197942763276,0.9971356811232163,3619112.549902891,0.9835442531369272,0.39803715427859543,2.8810825207545956,7.238225099805781
total_cost_less_synthetic_usd,2139606.8810545015,102530574.60301995,0.020867988786161366,0.9939133336801198,3557638.7439246657,0.9846441713979602,0.6014120699321371,4.279213762109003,7.1152774878493315
reserve_shortfall_mwh,5246.6234433016425,54646.11031900001,0.09601092214384807,0.8874701267881402,7011.10853198872,0.8309278818960928,0.7483300849449871,,
thermal_starts,83.25526890987913,1111.0,0.07493723574246547,0.9210613097637562,179.34616643669375,0.6833041824268282,0.4642154921068072,,
