objective,loo_rmse,y_range,rmse_over_range,loo_R2,rmse_over_floor
load_shed_mwh,1497.1572775825289,13706.885119,0.10922665978335386,0.875576867568307,0.499052425860843
true_curtailment_mwh,85361.69195337445,540073.5224929999,0.15805568760220207,0.6752847740148953,17.07233839067489
total_cost_raw_usd,3619112.549902891,100914321.57701898,0.03586322033727138,0.9835442531369272,7.238225099805781
total_cost_less_synthetic_usd,3557638.7439246657,101961555.06097198,0.03489196238520719,0.9846441713979602,7.1152774878493315
reserve_shortfall_mwh,7011.10853198872,51316.528743,0.1366247621132225,0.8309278818960928,
thermal_starts,179.34616643669375,1111.0,0.1614276925622806,0.6833041824268282,
