ruc_date,final_gap_pct,sol_count,status,solve_time_s,ruc_cost
start_date,0.9517,3,OPTIMAL,270.7047338485718,15281627.73
2019-01-02,0.9083,10,OPTIMAL,153.46495127677917,29950163.37
2019-01-03,1.5813,10,TIME_LIMIT,126.39667558670044,26428967.12
2019-01-04,0.9926,3,OPTIMAL,52.54469013214111,20773422.2
2019-01-05,0.9939,10,OPTIMAL,45.266966342926025,14762989.09
2019-01-06,0.8152,8,OPTIMAL,79.38250756263733,8387138.86
2019-01-07,0.9426,10,OPTIMAL,149.33818411827087,9301039.85
2019-01-08,0.9878,7,OPTIMAL,164.88386964797974,10911365.9
2019-01-09,1.2377,5,TIME_LIMIT,245.3576409816742,13343824.89
2019-01-10,0.9216,9,OPTIMAL,204.9095959663391,14145817.28
2019-01-11,0.9719,10,OPTIMAL,300.14251804351807,12430856.89
2019-01-12,0.9815,10,OPTIMAL,100.30678153038025,12295863.05
2019-01-13,0.9972,4,OPTIMAL,146.48954677581787,18271600.63
2019-01-14,0.9992,4,OPTIMAL,211.62805080413818,23399000.87
2019-01-15,0.9051,10,OPTIMAL,97.53768968582153,18972541.53
2019-01-16,0.9274,10,OPTIMAL,91.38794660568237,14154091.25
2019-01-17,0.9999,7,OPTIMAL,63.73808240890503,12458495.31
2019-01-18,1.3082,10,TIME_LIMIT,366.31290316581726,10670402.55
2019-01-19,0.9968,10,OPTIMAL,71.0422899723053,15793036.78
2019-01-20,0.9398,10,OPTIMAL,57.4576621055603,21498803.46
2019-01-21,0.9986,10,OPTIMAL,45.268434286117554,14742868.79
2019-01-22,0.9788,10,OPTIMAL,117.22512888908386,10109233.37
2019-01-23,0.9947,8,OPTIMAL,65.816650390625,25686917.93
2019-01-24,0.9979,2,OPTIMAL,53.115654945373535,24874836.86
2019-01-25,0.9886,10,OPTIMAL,354.67304277420044,21565327.76
2019-01-26,0.9999,10,OPTIMAL,86.02857565879822,16492469.98
2019-01-27,0.9923,10,OPTIMAL,176.00581169128418,13601252.65
2019-01-28,0.9192,10,OPTIMAL,429.08071732521057,13031969.59
2019-01-29,0.9913,7,OPTIMAL,349.42209553718567,22507826.47
2019-01-30,0.9953,10,OPTIMAL,23.349666833877563,19562432.53
2019-01-31,0.6487,10,OPTIMAL,47.34995722770691,15443452.86
2019-02-01,0.9999,10,OPTIMAL,38.80148673057556,11759066.06
